Entry,CoreID,Drive,DepthDrive,SedDepth,AgeLo,AgeMed,AgeHi,Li,Be,B,Na,Mg,Al,Si,P,K,K_NoNeg,Ca,Sc,Ti,V,Cr,Mn,Fe,Fe_1,Co,Ni,Cu,Zn,Ge,As,As_1,Se,Se_2,Se_1,Rb,Sr,Zr,Mo,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,W,Tl,Pb,Bi,U,ResMinMatterPct,DensDB,SedRate,OrgPct,S_V,C_V,AdAl_v,AdAl_s,L8,Bd35,C_pct,C_mol,N_pct,N_mol,CN_pct,CN_mol,d13C,HasLignin,HasMetals,HasCN,HasLOI,HasBDens
57,LL-M283,S,110,109.5,568.977,1057,1563.023,0.021386344,0,9.952519527,38.51393603,592.5220928,2694.123891,2064.569167,60.64093293,-56.01185408,0,5601.185408,0.560118541,110.1720766,7.730561679,6.619582755,17.86824436,1453.530759,1527.59602,0.560118541,3.869909919,33.4219493,65.73291967,0,-2.624687708,0.107394629,2.411750081,-0.160629036,4.119880176,0.754539853,28.42254414,0.4814242,0.413376741,-0.049531144,0.661958276,-0.000583264,-0.031246282,0.009767356,0.085637959,66.19582755,3.777328342,5.416022254,0.386528084,0,1.023026426,-0.02407121,0.218029614,32.26804124,0.043466638,0.003951513,67.73195876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
58,LL-M284,S,112,111.5,585.977,1077,1580,0.054341691,0,10.26454161,29.24100508,599.4837324,2751.587203,1970.964502,51.75399129,-39.24677673,0,5477.297411,0.457160256,92.72590106,8.841306845,5.089142477,17.68261369,1259.347121,1401.670597,0.345889175,2.091723815,29.80167332,60.81093976,0,-2.518694243,-0.033855736,-0.228148845,-0.539104076,-2.303052612,0.677114719,28.50782353,0.283353102,0.11903418,-0.461473089,0.5951709,0.000668489,-0.031526806,0.00103508,0.064261206,69.43660498,3.83842102,5.520425737,-0.659863389,0,1.013515663,-0.025445712,0.188470785,33.17191283,0.044007875,0.004400788,66.82808717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
59,LL-M285,S,114,113.5,600.977,1097,1595,-0.017712549,0,8.591908051,20.84088466,497.8900563,2238.3022,1802.097637,47.58595228,-45.8235096,0,4538.289893,0.467047309,89.00335519,5.7279387,4.758595228,14.49609102,1070.683926,1158.80606,0.894439659,3.141554072,30.75462471,916.4701921,0,-2.621633482,0.095171905,4.388482266,0.881221339,-2.31761212,0.537545017,23.88109827,0.397430824,0.406683648,-0.266128844,0.568387763,-0.001630259,-0.026965373,0.030005587,0.056398166,57.279387,3.110711325,4.348827306,-0.445016776,0,0.819535845,-0.022955816,0.166991444,31.32209406,0.065741194,0.006574119,68.67790594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
60,LL-M286,S,116,115.5,620.977,1116,1612.023,0.029769509,0,11.34538283,44.70274773,664.2382254,2996.344696,2278.773474,60.6056775,-23.75742558,0,5769.660498,0.499390783,91.63578438,8.581763934,5.09087691,18.95745592,1357.567176,1483.626985,0.751510401,1.983017768,33.55130307,901.8124812,0,-2.85089107,0.002768467,0.799994943,-0.843631031,-5.042392368,0.620602138,30.25435421,0.346664475,0.166301979,-0.552723779,0.528481508,-0.000427634,-0.031999798,0.015708992,0.059151141,72.726813,3.990277807,5.624206872,1.216962004,0,0.916357844,-0.026666498,0.200241158,31.09243697,0.041315654,0.004131565,68.90756303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
61,LL-M287,S,118,117.5,637,1137,1624,0.061424066,0,10.99688915,34.17952033,658.8226383,2833.4327,2333.123779,53.99373502,-28.53246915,0,5845.193332,0.510216028,93.12680902,7.331259433,5.349837965,18.92257502,1391.948582,1570.276514,0.772754373,1.832814858,36.35908395,951.0823049,0,-3.239624101,0.107492115,5.399373502,0.921360983,1.837768412,0.554798011,29.57271542,0.335355584,0.138204147,-0.604333548,0.57956578,-0.000698451,-0.030563426,0.014959732,0.061424066,70.34046213,3.779561451,5.349837965,-0.28334327,0,0.876779,-0.028730611,0.201609634,31.51658768,0.0426251,0.003552092,68.48341232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
62,LL-M288,S,120,119.5,662,1159,1640,0.010767076,0,11.09910021,34.8151263,630.8462939,2622.992485,2077.523885,48.85501374,-48.85501374,0,5929.006522,0.512266163,92.49250174,6.687919357,4.415924057,17.92931572,1242.719767,1432.447976,0.725710398,1.992146191,35.19458271,877.4929652,0,-2.997705697,0.33629325,0.057867104,-1.551028106,-3.348702884,0.559698216,29.69246466,0.328704122,0.212495594,-0.659305525,0.564441421,-0.001351813,-0.034340806,0.018593364,0.05454686,69.7251167,3.747132122,5.312389844,-0.032064067,0,0.76365604,-0.026751677,0.201111901,31.29411765,0.046267107,0.004626711,68.70588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
63,LL-M289,S,122,121.5,683.954,1179.5,1650,0.006885671,0,10.99794657,31.3680563,650.3133623,2610.816881,2094.391564,64.55316464,-49.72984535,0,5594.607602,0.47817159,87.50540095,6.024962033,4.480467797,18.69650917,1324.535304,1401.042758,0.335676456,1.893559496,29.35973562,54.98973284,0,-2.969445573,-0.102806892,-6.072779192,0.119064726,-1.630565122,0.516425317,29.07283267,0.339501829,0.111892152,-0.927652884,0.545115612,-0.000549897,-0.027638318,-0.000516425,0.054511561,68.85670895,3.734520117,5.355521807,0.573805908,0,0.779419692,-0.02845121,0.190790464,30.52884615,0.040690611,0.003875296,69.47115385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
64,LL-M290,S,124,123.5,703.954,1201,1668,-0.015530663,0,11.95915193,28.08506719,676.4226203,2743.570148,2316.071052,71.4302287,-61.14860487,0,5790.17763,0.488647701,99.56940971,5.79017763,4.599673818,18.50692289,1309.554193,1455.661479,0.345787243,1.975154051,29.70848148,56.27836201,0,-3.31717653,0.139072491,-0.876643716,0.838764049,-5.627836201,0.56278362,30.46607482,0.356610005,0.150977529,-1.076864811,0.557372239,-0.001212149,-0.035065749,-0.002045502,0.058442914,72.51250489,3.977365007,5.573722391,0.089287786,0,0.763004716,-0.030844871,0.207255891,31.18110236,0.041224865,0.003747715,68.81889764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
65,LL-M291,S,126,125.5,720,1222,1682,0.051143462,0,12.76196672,44.11721079,712.1846595,2877.417215,2275.1671,75.99822877,-41.20155547,0,5735.715379,0.487535807,89.38156465,7.026251339,4.688947322,18.01970582,1367.012165,1529.524101,0.361828045,1.993161094,29.82571997,54.96727238,0,-2.939554132,-0.291565532,-4.602911592,-0.342231018,-0.755202525,0.607029878,30.49488676,0.37664531,0.121883952,-0.544892961,0.544892961,0.000368998,-0.032167804,-0.002480697,0.062136917,73.60834736,4.038899579,5.735715379,2.232149235,0,0.769541813,-0.027579231,0.200750038,31.55737705,0.042303849,0.004700428,68.44262295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
66,LL-M292,S,128,127.5,738.931,1242,1696,0.050442755,0,11.92283294,35.97230793,698.0462021,2822.756175,2343.804766,81.52364404,-42.13753351,0,5757.607361,0.524808459,94.7712362,6.929509744,4.789514088,18.49567674,1482.711276,1574.425376,0.386218264,2.089043379,31.94707801,56.55702806,0,-3.179422118,0.432584836,2.486471143,0.446341951,-0.07337128,0.580855964,30.97898474,0.41118488,0.102414078,-1.085283511,0.596141647,-0.000434113,-0.037602781,0.000723522,0.06063321,73.37127964,3.948801508,5.604750528,1.824091535,0,0.825426896,-0.028431371,0.206356724,32.02416918,0.042181634,0.004218163,67.97583082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
67,LL-M293,S,130,129.5,757,1262,1710,0.054322299,0,11.64049265,37.40478306,688.0824546,2892.01573,2395.35471,85.88096801,-51.52858081,0,5639.171996,0.522528781,100.8842697,6.41520484,5.328758859,17.95222645,1407.206223,1531.371478,0.412332118,2.069420916,34.50759377,54.32229905,0,-3.362808989,0.174348712,-3.911205531,-0.941586517,-1.981470527,0.569090752,29.17883492,0.377151962,0.127786742,-1.045057563,0.538049438,0.000500283,-0.039939824,-0.000242122,0.059495851,70.36031114,3.957767502,5.690907519,2.038379602,0,0.853636128,-0.029592719,0.212632999,NA,0.042352735,0.004235274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE
